Country,University,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
France,Pierre-and-Marie-Curie University,65,41,41,45,39,42,40,39,41,42,37
France,University of Paris-Sud 11,72,48,48,64,52,49,43,45,40,37,39
USA,University of Pennsylvania,18,15,15,15,15,15,15,15,14,14,15
USA,University of Pittsburgh,53,48,48,48,49,52,50,56,57,58,61
Australia,University of Queensland,101,101,101,101,101,101,101,101,86,90,85
Italy,Sapienza University of Rome,70,93,97,100,101,101,101,101,101,101,101
USA,University of Rochester,72,52,52,74,75,73,77,82,84,86,90
UK,University of Sheffield,68,69,69,69,72,77,81,88,97,101,101
USA,University of Southern California,40,48,48,47,50,50,46,46,46,46,47
France,University of Strasbourg,101,82,82,96,99,101,101,101,101,101,97
Australia,University of Sydney,101,101,101,101,101,97,94,92,96,93,97
USA,University of Texas at Austin,47,40,40,39,38,39,38,38,35,35,36
USA,University of Texas Southwestern Medical Center,34,36,36,38,39,41,48,49,51,48,46
Japan,University of Tokyo,19,14,20,19,20,19,20,20,21,20,21
Canada,University of Toronto,23,24,24,24,23,24,27,27,26,27,28
USA,University of Utah,81,95,95,94,93,79,80,82,79,82,85
Netherlands,Utrecht University,40,39,39,40,42,47,52,50,48,53,52
Austria,University of Vienna,84,86,86,101,101,101,101,101,101,101,101
USA,University of Virginia,67,101,101,101,101,95,91,96,101,101,101
USA,University of Washington,16,20,17,17,16,16,16,16,16,16,16
Australia,University of Western Australia,101,101,101,101,101,101,101,101,101,96,91
USA,University of Wisconsin–Madison,27,18,16,16,17,17,17,17,19,19,19
Switzerland,University of Zurich,45,57,57,58,58,53,54,51,56,59,60
Sweden,Uppsala University,59,74,74,65,66,71,76,66,67,73,73
USA,Vanderbilt University,32,38,38,41,41,42,41,53,52,50,49
USA,Washington University in St. Louis,22,28,28,28,28,29,29,30,31,31,32
Israel,Weizmann Institute of Science,101,101,101,101,101,101,101,101,101,93,92
USA,Yale University,8,11,11,11,11,11,11,11,11,11,11
