University,Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
University of Helsinki,Finland,74,72,72,74,73,68,72,72,74,73,76
Ohio State University,USA,81,73,73,66,61,62,62,59,63,65,65
Uppsala University,Sweden,59,74,74,65,66,71,76,66,67,73,73
Rice University,USA,61,75,75,87,87,97,99,99,93,91,92
University of Arizona,USA,55,76,76,76,74,77,77,78,80,77,78
King's College London,UK,75,77,77,83,83,81,65,63,68,68,67
University of Manchester,UK,89,78,53,50,48,40,41,44,38,40,41
University of Göttingen,Germany,91,79,79,85,87,90,90,93,86,101,101
Michigan State University,USA,87,80,80,80,80,83,86,86,92,96,92
University of Nottingham,UK,101,80,80,79,81,82,83,84,85,86,83
Brown University,USA,49,82,86,85,70,71,69,65,65,65,67
University of Melbourne,Australia,92,82,82,78,79,73,75,62,60,57,54
University of Strasbourg,France,101,82,82,96,99,101,101,101,101,101,97
École normale supérieure – Paris,France,101,85,93,99,83,73,70,71,69,73,71
University of Vienna,Austria,84,86,86,101,101,101,101,101,101,101,101
Boston University,USA,98,87,81,81,85,83,74,77,76,71,75
McMaster University,Canada,86,88,88,90,87,89,91,88,89,92,92
University of Freiburg,Germany,101,88,88,93,94,96,101,101,101,99,100
Hebrew University of Jerusalem,Israel,94,90,90,60,64,65,64,52,57,53,59
University of Basel,Switzerland,96,91,91,81,82,87,85,86,89,85,83
Lund University,Sweden,93,92,92,90,97,97,101,101,101,101,101
University of Birmingham,UK,101,93,93,90,92,91,94,99,101,101,101
Sapienza University of Rome,Italy,70,93,97,100,101,101,101,101,101,101,101
Humboldt University of Berlin,Germany,101,95,95,101,101,101,101,101,101,101,101
University of Utah,USA,81,95,95,94,93,79,80,82,79,82,85
Nagoya University,Japan,68,97,97,98,94,101,82,79,94,96,101
Stockholm University,Sweden,101,97,97,84,86,86,88,79,81,81,82
Tufts University,USA,83,99,99,101,101,101,101,101,101,101,101
University of Bonn,Germany,101,99,99,101,99,97,98,93,94,101,101
